triangle,d,n_roots,mean_abs,min_abs,max_abs,rel_spread,n_coeffs,has_zero_root
smooth,8,36,0.5155286008237506,0.5147945942185458,0.5156055065176589,0.0003655205522638126,37,False
smooth,9,35,0.5146808936941429,0.5140827610987474,0.514744309374521,0.00030175327547468265,36,False
smooth,10,34,0.5139357907818344,0.5134450114753684,0.513988589626472,0.0002510329672262489,35,False
smooth,11,33,0.5132742135810595,0.5128691631186701,0.5133185797241282,0.00021022196698707087,34,False
smooth,12,32,0.5126816917847118,0.5123457579331009,0.5127192369593735,0.00017704044674485118,33,False
smooth,13,31,0.5121470461191626,0.5118673082559543,0.5121790432240882,0.00014980995403439138,32,False
smooth,14,30,0.5116614920451953,0.5114277853140635,0.5116888988096874,0.0001272778317854312,31,False
smooth,15,29,0.5112180194747151,0.5110222634167814,0.5112416216217905,0.00010849647435574697,30,False
smooth,16,28,0.510810956000517,0.5106466664020877,0.5108313517317712,9.273974828259272e-05,29,False
smooth,17,27,0.5104356539794724,0.5102975832861187,0.5104533529917098,7.944445239807551e-05,28,False
smooth,18,26,0.5100882625400933,0.509972131492469,0.5101036539728757,6.816885969902202e-05,27,False
smooth,19,25,0.5097655587738658,0.509667853696767,0.5097789874821882,5.8562946384786536e-05,26,False
smooth,20,24,0.5094648208432474,0.5093826387632082,0.5094765481798971,5.034674507098481e-05,25,False
smooth,21,23,0.5091837312472414,0.5091146602973935,0.5091939991331679,4.3294401776514133e-05,24,False
smooth,22,22,0.5089203021128849,0.5088623282872131,0.5089292903398078,3.722228748012047e-05,23,False
smooth,23,21,0.5086728168034936,0.5086242505982039,0.50868070064148,3.198003439277191e-05,22,False
smooth,24,20,0.5084397837758887,0.5083992020008836,0.5084466889390069,2.744370259983153e-05,21,False
smooth,25,19,0.5082198997472145,0.5081860990180572,0.5082259571101194,2.35105200589303e-05,20,False
smooth,26,18,0.5080120200188184,0.5079839793237858,0.5080173181589033,2.009479559066429e-05,19,False
smooth,27,17,0.5078151343610587,0.5077919847365959,0.5078197739962541,1.712471649934924e-05,18,False
smooth,28,16,0.5076283472615046,0.5076093470781536,0.5076323905351837,1.4539819582858228e-05,17,False
smooth,29,15,0.5074508616282138,0.5074353763361396,0.5074543886191855,1.2288979495653772e-05,16,False
smooth,30,14,0.5072819652520731,0.5072694506949188,0.5072850184780899,1.0328797958620507e-05,15,False
smooth,31,13,0.5071210194897938,0.5071110080910399,0.5071236651078863,8.622306293529061e-06,14,False
smooth,32,12,0.5069674497473697,0.5069595390222379,0.5069697148318733,7.1379147681148035e-06,13,False
smooth,33,11,0.5068207374333312,0.5068145803932841,0.5068226793799963,5.8485579121061646e-06,12,False
smooth,34,10,0.5066804131195823,0.5066757102241842,0.5066820456909652,4.730996831086743e-06,11,False
smooth,35,9,0.5065460507003459,0.5065425430791581,0.5065474271423269,3.7652482583246587e-06,10,False
smooth,36,8,0.5064172623807736,0.5064147261000356,0.5064183831307575,2.9341166532482105e-06,9,False
smooth,37,7,0.5062936943588501,0.5062919355462967,0.5062946138520091,2.2228097271920786e-06,8,False
smooth,38,6,0.5061750230895682,0.5061738737552466,0.5061757248796447,1.6186169531852735e-06,7,False
smooth,39,5,0.506060952040442,0.5060602664330445,0.5060615006693269,1.1106128598535642e-06,6,False
smooth,40,4,0.5059512088634839,0.5059508601427528,0.5059515575842151,6.892378652639774e-07,5,False
smooth,41,3,0.5058455429216864,0.5058454196244633,0.5058457895161325,3.44707208545675e-07,4,False
smooth,42,2,0.5057437231184889,0.5057437231184889,0.5057437231184889,0.0,3,False
resid,0,44,0.7624668603543515,0.6923581462065319,0.8916231810629319,0.04903371435448486,45,False
resid,1,43,0.7483282762240567,0.6176032088091088,0.8485149896012093,0.05824682848012247,44,False
resid,2,42,0.749218589825598,0.6704465902726506,0.8572346189661726,0.0442787982953755,43,False
resid,3,41,0.7526802652862192,0.7158186652216276,0.7858202596181357,0.02020590347039096,42,False
resid,4,40,0.7543824710363243,0.7329401065067467,0.7790636263678856,0.013738937060068939,41,False
resid,5,39,0.754709898673795,0.7348255546275875,0.783229915461248,0.013239818590508143,40,False
resid,6,38,0.7542802496369435,0.7232539836054913,0.7896810787718824,0.016421746069334896,39,False
resid,7,37,0.7535541527205514,0.7079260205817788,0.8002497288336825,0.023000512282436825,38,False
resid,8,36,0.7531460482797486,0.7009264851125818,0.8173618143646223,0.030631679457257924,37,False
resid,9,35,0.7540671501734971,0.7016016601713652,0.8434289379594471,0.04010867965372365,36,False
resid,10,34,0.7576500240766445,0.7041784744340065,0.8828636063154532,0.053224869148660266,35,False
resid,11,33,0.7654870985747928,0.6868424718211636,0.9492407944128332,0.07403739855425709,34,False
resid,12,32,0.780847469964711,0.6645794563640528,1.094380577748015,0.11643241537755444,33,False
resid,13,31,0.8414140591875058,0.6334301941801954,2.8481246942658043,0.4421494239623793,32,False
resid,14,30,0.8357825682567338,0.5058487993779331,2.436175722286262,0.36609446869043005,31,False
resid,15,29,0.7804972424673098,0.3528777797484515,0.9849833918299092,0.12443486737931057,30,False
resid,16,28,0.7597184661056361,0.11413957166385243,1.033166064708035,0.18386983876575766,29,False
resid,17,27,0.7596018159536597,0.5017911707995822,1.1124732616939437,0.13135176787787578,28,False
resid,18,26,0.7909344313193197,0.7344429222242647,1.240810000280348,0.13422174061180497,27,False
resid,19,25,0.8213805555262096,0.7112134894972897,1.4756226148143805,0.18006179139708425,26,False
resid,20,24,0.8680287810106612,0.6813137790598406,2.0762908012800407,0.3034037855271922,25,False
resid,21,23,1.198507672715305,0.6467951282648583,9.090213800429849,1.4060818426075645,24,False
resid,22,22,0.88824942796025,0.6036825987475856,1.3656786253762672,0.16757990170293566,23,False
resid,23,21,0.8539833451650777,0.5466776311137241,1.0857461232187913,0.12163051137700524,22,False
resid,24,20,0.8308651671542305,0.46574265405313425,1.0191890801171204,0.12546117562226422,21,False
resid,25,19,0.8032025265489903,0.33796787787056104,0.9505299749345709,0.1486036926091,20,False
resid,26,18,0.762417291880172,0.09824594278698967,0.8946135703604128,0.21690446817750994,19,False
resid,27,17,0.7475719140971347,0.5726455203314165,0.8506384031080428,0.08558293882122663,18,False
resid,28,16,0.770652858625119,0.7411330795792377,0.8223368819296988,0.03288010520604893,17,False
resid,29,15,0.7800328518796501,0.7440397432473793,0.81023549745534,0.024251742458353452,16,False
resid,30,14,0.783788886043751,0.7472609878556528,0.8120621415022881,0.0219312223658494,15,False
resid,31,13,0.7847590840554773,0.7501814633201525,0.8140696472670933,0.021029687571987858,14,False
resid,32,12,0.7843226466188765,0.7527734667687044,0.8165701433194045,0.020698817789335456,13,False
resid,33,11,0.7833770392493445,0.7552465634068398,0.819935857032864,0.02097335101458484,12,False
resid,34,10,0.7826596252884146,0.7578986151835481,0.8246231659513436,0.022115647713649027,11,False
resid,35,9,0.7828816334640272,0.7610621772689392,0.8312159353211582,0.02444116847033508,10,False
