table,weight,side,r,d,value
unit prime,unit,prime,14,4,73.0000000000
unit prime,unit,prime,15,4,25.0000000000
unit prime,unit,prime,16,4,213.0000000000
unit prime,unit,prime,17,4,237.0000000000
unit prime,unit,prime,18,4,517.0000000000
unit prime,unit,prime,19,4,1140.0000000000
unit prime,unit,prime,20,4,1763.0000000000
unit prime,unit,prime,21,4,4099.0000000000
unit prime,unit,prime,22,4,6991.0000000000
unit prime,unit,prime,23,4,14238.0000000000
unit prime,unit,prime,24,4,27151.0000000000
unit prime,unit,prime,6,5,-14.0000000000
unit prime,unit,prime,7,5,17.0000000000
unit prime,unit,prime,8,5,-14.0000000000
unit prime,unit,prime,9,5,11.0000000000
unit prime,unit,prime,10,5,-10.0000000000
unit prime,unit,prime,11,5,20.0000000000
unit prime,unit,prime,12,5,-8.0000000000
unit prime,unit,prime,13,5,1.0000000000
unit prime,unit,prime,14,5,64.0000000000
unit prime,unit,prime,15,5,-48.0000000000
unit prime,unit,prime,16,5,188.0000000000
unit prime,unit,prime,17,5,24.0000000000
unit prime,unit,prime,18,5,280.0000000000
unit prime,unit,prime,19,5,623.0000000000
unit prime,unit,prime,20,5,623.0000000000
unit prime,unit,prime,21,5,2336.0000000000
unit prime,unit,prime,22,5,2892.0000000000
unit prime,unit,prime,23,5,7247.0000000000
unit prime,unit,prime,24,5,12913.0000000000
log prime,log,prime,1,0,0.6931471806
log prime,log,prime,2,0,1.0986122887
log prime,log,prime,3,0,3.5553480615
log prime,log,prime,4,0,4.9628446303
log prime,log,prime,5,0,15.7144295736
log prime,log,prime,6,0,27.0945409184
log prime,log,prime,7,0,58.7950688730
log prime,log,prime,8,0,120.2049685496
log prime,log,prime,9,0,254.8885222657
log prime,log,prime,10,0,496.9302841547
log prime,log,prime,11,0,1001.5694143268
log prime,log,prime,12,0,2041.8997252332
log prime,log,prime,13,0,4036.7319160366
log prime,log,prime,14,0,8190.9491882302
log prime,log,prime,15,0,16259.7426402753
log prime,log,prime,16,0,32659.4313766128
log prime,log,prime,17,0,65499.8145339662
log prime,log,prime,18,0,130776.1261696227
log prime,log,prime,19,0,262215.1110712197
log prime,log,prime,20,0,523629.6843626971
log prime,log,prime,21,0,1048340.3971806891
log prime,log,prime,22,0,2096591.7557123101
log prime,log,prime,23,0,4193027.5537190610
log prime,log,prime,24,0,8386926.7136399485
log prime,log,prime,2,1,0.4054651081
log prime,log,prime,3,1,2.4567357728
log prime,log,prime,4,1,1.4074965688
log prime,log,prime,5,1,10.7515849434
log prime,log,prime,6,1,11.3801113448
log prime,log,prime,7,1,31.7005279546
log prime,log,prime,8,1,61.4098996766
log prime,log,prime,9,1,134.6835537161
log prime,log,prime,10,1,242.0417618890
log prime,log,prime,11,1,504.6391301721
log prime,log,prime,12,1,1040.3303109064
log prime,log,prime,13,1,1994.8321908035
log prime,log,prime,14,1,4154.2172721936
log prime,log,prime,15,1,8068.7934520451
log prime,log,prime,16,1,16399.6887363375
log prime,log,prime,17,1,32840.3831573533
log prime,log,prime,18,1,65276.3116356566
log prime,log,prime,19,1,131438.9849015970
log prime,log,prime,20,1,261414.5732914774
log prime,log,prime,21,1,524710.7128179921
log prime,log,prime,22,1,1048251.3585316209
log prime,log,prime,23,1,2096435.7980067509
log prime,log,prime,24,1,4193899.1599208876
log prime,log,prime,3,2,2.0512706647
log prime,log,prime,4,2,-1.0492392041
log prime,log,prime,5,2,9.3440883746
log prime,log,prime,6,2,0.6285264014
log prime,log,prime,7,2,20.3204166099
log prime,log,prime,8,2,29.7093717220
log prime,log,prime,9,2,73.2736540396
log prime,log,prime,10,2,107.3582081728
log prime,log,prime,11,2,262.5973682831
log prime,log,prime,12,2,535.6911807344
log prime,log,prime,13,2,954.5018798971
log prime,log,prime,14,2,2159.3850813901
log prime,log,prime,15,2,3914.5761798515
log prime,log,prime,16,2,8330.8952842924
log prime,log,prime,17,2,16440.6944210158
log prime,log,prime,18,2,32435.9284783032
log prime,log,prime,19,2,66162.6732659405
log prime,log,prime,20,2,129975.5883898804
log prime,log,prime,21,2,263296.1395265147
log prime,log,prime,22,2,523540.6457136289
log prime,log,prime,23,2,1048184.4394751299
log prime,log,prime,24,2,2097463.3619141364
log prime,log,prime,4,3,-3.1005098688
log prime,log,prime,5,3,10.3933275786
log prime,log,prime,6,3,-8.7155619732
log prime,log,prime,7,3,19.6918902085
log prime,log,prime,8,3,9.3889551121
log prime,log,prime,9,3,43.5642823176
log prime,log,prime,10,3,34.0845541333
log prime,log,prime,11,3,155.2391601103
log prime,log,prime,12,3,273.0938124513
log prime,log,prime,13,3,418.8106991627
log prime,log,prime,14,3,1204.8832014931
