x,pi2
5600000000,16199441
5610000000,16225523
5620000000,16251893
5630000000,16278123
5640000000,16304598
5650000000,16330780
5660000000,16357068
5670000000,16383193
5680000000,16409678
5690000000,16435991
5700000000,16462030
5710000000,16488084
5720000000,16514132
5730000000,16540305
5740000000,16566540
5750000000,16592796
5760000000,16618778
5770000000,16644893
5780000000,16670867
5790000000,16696874
5800000000,16723078
5810000000,16748924
5820000000,16775098
5830000000,16801321
5840000000,16827186
5850000000,16853248
5860000000,16879291
5870000000,16905611
5880000000,16931908
5890000000,16957783
5900000000,16983784
5910000000,17010075
5920000000,17036057
5930000000,17062147
5940000000,17088009
5950000000,17114012
5960000000,17139886
5970000000,17165882
5980000000,17191872
5990000000,17218144
6000000000,17244409
6010000000,17270567
6020000000,17296569
6030000000,17322287
6040000000,17348211
6050000000,17373989
6060000000,17400243
6070000000,17426088
6080000000,17452351
6090000000,17478450
6100000000,17504488
6110000000,17530541
6120000000,17556642
6130000000,17582598
6140000000,17608611
6150000000,17634592
6160000000,17660612
6170000000,17686349
6180000000,17712457
6190000000,17738301
6200000000,17764537
6210000000,17790580
6220000000,17816494
6230000000,17842473
6240000000,17868434
6250000000,17894220
6260000000,17920262
6270000000,17946227
6280000000,17972416
6290000000,17998489
6300000000,18024376
6310000000,18050307
6320000000,18076030
6330000000,18101994
6340000000,18127984
6350000000,18153840
6360000000,18179879
6370000000,18206020
6380000000,18231835
6390000000,18257677
6400000000,18283435
6410000000,18309250
6420000000,18335010
6430000000,18360931
6440000000,18386714
6450000000,18412820
6460000000,18438601
6470000000,18464512
6480000000,18490401
6490000000,18516574
6500000000,18542454
6510000000,18567890
6520000000,18593743
6530000000,18619513
6540000000,18645203
6550000000,18670789
6560000000,18696447
6570000000,18722304
6580000000,18748310
6590000000,18774177
6600000000,18800026
6610000000,18825429
6620000000,18851443
6630000000,18877216
6640000000,18902947
6650000000,18928779
6660000000,18954773
6670000000,18980784
6680000000,19006671
6690000000,19032470
6700000000,19058240
6710000000,19084161
6720000000,19109848
6730000000,19135765
6740000000,19161264
6750000000,19186945
6760000000,19212777
6770000000,19238491
6780000000,19264411
6790000000,19289965
6800000000,19315571
6810000000,19341184
6820000000,19366946
6830000000,19392713
6840000000,19418500
6850000000,19444149
6860000000,19469848
6870000000,19495701
6880000000,19521628
6890000000,19547366
6900000000,19572967
6910000000,19598811
6920000000,19624517
6930000000,19650090
6940000000,19675819
6950000000,19701530
6960000000,19727112
6970000000,19753039
6980000000,19778742
6990000000,19804259
7000000000,19830161
7010000000,19855863
7020000000,19881688
7030000000,19907469
7040000000,19933309
7050000000,19959065
7060000000,19984763
7070000000,20010539
7080000000,20036257
7090000000,20062031
7100000000,20087571
7110000000,20112980
7120000000,20138448
7130000000,20164323
7140000000,20189848
7150000000,20215555
7160000000,20241288
7170000000,20267011
7180000000,20292752
7190000000,20318259
7200000000,20343905
7210000000,20369737
7220000000,20395295
7230000000,20420910
7240000000,20446510
7250000000,20472251
7260000000,20497738
7270000000,20523455
7280000000,20548811
7290000000,20574405
7300000000,20600009
7310000000,20625622
7320000000,20651307
7330000000,20676876
7340000000,20702443
7350000000,20727876
7360000000,20753375
7370000000,20778857
7380000000,20804220
7390000000,20829736
7400000000,20855304
7410000000,20881129
7420000000,20906691
7430000000,20932267
7440000000,20957659
7450000000,20983197
7460000000,21008643
7470000000,21034131
7480000000,21059536
7490000000,21085108
7500000000,21110363
7510000000,21135974
7520000000,21161591
7530000000,21187211
7540000000,21212660
7550000000,21238290
7560000000,21263708
7570000000,21289094
7580000000,21314531
7590000000,21339963
7600000000,21365320
7610000000,21390895
7620000000,21416375
7630000000,21441933
7640000000,21467567
7650000000,21492968
7660000000,21518359
7670000000,21543891
7680000000,21569535
7690000000,21595242
7700000000,21620694
7710000000,21646277
7720000000,21671828
7730000000,21697243
7740000000,21722779
7750000000,21748130
7760000000,21773543
7770000000,21799158
7780000000,21824501
7790000000,21849830
7800000000,21875356
7810000000,21900952
7820000000,21926378
7830000000,21951908
7840000000,21977372
7850000000,22002896
7860000000,22027971
7870000000,22053376
7880000000,22078784
7890000000,22104219
7900000000,22129653
7910000000,22155303
7920000000,22180710
7930000000,22206104
7940000000,22231367
7950000000,22256959
7960000000,22282408
7970000000,22307817
7980000000,22333517
7990000000,22358905
8000000000,22384176
8010000000,22409514
8020000000,22434883
8030000000,22460255
8040000000,22485633
8050000000,22511059
8060000000,22536440
8070000000,22561878
8080000000,22587426
8090000000,22612861
8100000000,22638090
8110000000,22663332
8120000000,22688751
8130000000,22713940
8140000000,22739275
8150000000,22764541
8160000000,22790153
8170000000,22815458
8180000000,22840953
8190000000,22866241
8200000000,22891711
8210000000,22917394
8220000000,22942831
8230000000,22968161
8240000000,22993266
8250000000,23018699
8260000000,23043983
8270000000,23069415
8280000000,23095055
8290000000,23120448
8300000000,23145559
8310000000,23171130
8320000000,23196287
8330000000,23221523
8340000000,23246667
8350000000,23272188
8360000000,23297503
8370000000,23322645
8380000000,23348080
8390000000,23373452
8400000000,23398612
8410000000,23423765
8420000000,23449127
8430000000,23474258
8440000000,23499705
8450000000,23525116
8460000000,23550332
8470000000,23575650
8480000000,23601025
8490000000,23626519
8500000000,23651769
8510000000,23676968
8520000000,23702121
8530000000,23727300
8540000000,23752678
8550000000,23778008
8560000000,23803284
8570000000,23828638
8580000000,23853739
8590000000,23878798
8600000000,23904154
8610000000,23929256
8620000000,23954490
8630000000,23979659
8640000000,24004899
8650000000,24030131
8660000000,24055227
8670000000,24080463
8680000000,24105519
8690000000,24130839
8700000000,24156114
8710000000,24181151
8720000000,24206377
8730000000,24231649
8740000000,24256803
8750000000,24281649
8760000000,24306908
8770000000,24331839
8780000000,24357067
8790000000,24382466
8800000000,24407781
8810000000,24433002
8820000000,24458235
8830000000,24483374
8840000000,24508716
8850000000,24533817
8860000000,24559422
8870000000,24584607
8880000000,24609520
8890000000,24634870
8900000000,24659928
8910000000,24685091
8920000000,24710265
8930000000,24735524
8940000000,24760696
8950000000,24785687
8960000000,24810912
8970000000,24835672
8980000000,24860767
8990000000,24885893
9000000000,24911210
9010000000,24936358
9020000000,24961581
9030000000,24986713
9040000000,25012044
9050000000,25036936
9060000000,25061878
9070000000,25087159
9080000000,25112158
9090000000,25137056
9100000000,25162461
9110000000,25187614
9120000000,25212782
9130000000,25237806
9140000000,25262851
9150000000,25287899
9160000000,25312914
9170000000,25337815
9180000000,25362982
9190000000,25388083
9200000000,25413080
9210000000,25438184
9220000000,25463239
9230000000,25488417
9240000000,25513612
9250000000,25538663
9260000000,25563641
9270000000,25588701
9280000000,25613936
9290000000,25638927
9300000000,25664044
9310000000,25688982
9320000000,25714074
9330000000,25739310
9340000000,25764604
9350000000,25789624
9360000000,25814557
9370000000,25839546
9380000000,25864549
9390000000,25889576
9400000000,25914706
9410000000,25939708
9420000000,25964770
9430000000,25989759
9440000000,26014947
9450000000,26040114
9460000000,26065142
9470000000,26090323
9480000000,26115311
9490000000,26140260
9500000000,26165152
9510000000,26190159
9520000000,26215116
9530000000,26240366
9540000000,26265372
9550000000,26290153
9560000000,26315334
9570000000,26340202
9580000000,26365116
9590000000,26390166
9600000000,26415111
9610000000,26440179
9620000000,26464935
9630000000,26489778
9640000000,26514471
9650000000,26539581
9660000000,26564909
9670000000,26589938
9680000000,26614870
9690000000,26639964
9700000000,26665038
9710000000,26690010
9720000000,26714994
9730000000,26739846
9740000000,26764689
9750000000,26789566
9760000000,26814177
9770000000,26838943
9780000000,26863901
9790000000,26889011
9800000000,26913838
9810000000,26938936
9820000000,26963914
9830000000,26988915
9840000000,27014269
9850000000,27038928
9860000000,27063830
9870000000,27088752
9880000000,27113628
9890000000,27138822
9900000000,27163538
9910000000,27188552
