regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_50,delta_51,delta_52,delta_53,delta_54,delta_55,delta_56,delta_57,delta_58,delta_59,delta_60,delta_61,delta_62,delta_63
40,20051180846,9765539068,4759661114,2321443151,1132973582,553265878,270314715,132139831,64664674,31762031,15793688,8121143,4480232,2751915,1958939,1971633,3756602,10215314,27811018,69293337,157876945,333139757,658532933,1229492010,2179295854,3676357369,5900380798,8973696897,12804200168,16760242642,19031346261,15404577752,-3045756459,-54290100702,-173428913178,-427703461669,-944152474081,-1960025839854,-3913412116729,-7603416109363,,,,,,,,,,,,,,,,,,,,,,,,
41,39113482640,19062301794,9296762726,4537101612,2215658461,1082684879,529419001,259104286,126964455,62299781,30537750,14744062,6622919,2142687,-609228,-2568167,-4539800,-8296402,-18511716,-46322734,-115616071,-273493016,-606632773,-1265165706,-2494657716,-4673953570,-8350310939,-14250691737,-23224388634,-36028588802,-52788831444,-71820177705,-87224755457,-84178998998,-29888898296,143540014882,571243476551,1515395950632,3475421790486,7388833907215,14992250016578,,,,,,,,,,,,,,,,,,,,,,,
42,76344462797,37230980157,18168678363,8871915637,4334814025,2119155564,1036470685,507051684,247947398,120982943,58683162,28145412,13401350,6778431,4635744,5244972,7813139,12352939,20649341,39161057,85483791,201099862,474592878,1081225651,2346391357,4841049073,9515002643,17865313582,32116005319,55340393953,91368982755,144157814199,215977991904,303202747361,387381746359,417270644655,273730629773,-297512846778,-1812908797410,-5288330587896,-12677164495111,-27669414511689,,,,,,,,,,,,,,,,,,,,,,
43,149100679004,72756216207,35525236050,17356557687,8484642050,4149828025,2030672461,994201776,487150092,239202694,118219751,59536589,31391177,17989827,11211396,6575652,1330680,-6482459,-18835398,-39484739,-78645796,-164129587,-365229449,-839822327,-1921047978,-4267439335,-9108488408,-18623491051,-36488804633,-68604809952,-123945203905,-215314186660,-359472000859,-575449992763,-878652740124,-1266034486483,-1683305131138,-1957035760911,-1659522914133,153385883277,5441716471173,18118880966284,45788295477973,,,,,,,,,,,,,,,,,,,,,
44,291354668495,142253989491,69497773284,33972537234,16615979547,8131337497,3981509472,1950837011,956635235,469485143,230282449,112062698,52526109,21134932,3145105,-8066291,-14641943,-15972623,-9490164,9345234,48829973,127475769,291605356,656834805,1496657132,3417705110,7685144445,16793632853,35417123904,71905928537,140510738489,264455942394,479770129054,839242129913,1414692122676,2293344862800,3559379349283,5242684480421,7199720241332,8859243155465,8705857272188,3264140801015,-14854740165269,-60643035643242,,,,,,,,,,,,,,,,,,,,
45,569630404450,278275735955,136021746464,66523973180,32551435946,15935456399,7804118902,3822609430,1871772419,915137184,445652041,215369592,103306894,50780785,29645853,26500748,34567039,49208982,65181605,74671769,65326535,16496562,-110979207,-402584563,-1059419368,-2556076500,-5973781610,-13658926055,-30452558908,-65869682812,-137775611349,-278286349838,-542742292232,-1022512421286,-1861754551199,-3276446673875,-5569791536675,-9129170885958,-14371855366379,-21571575607711,-30430818763176,-39136676035364,-42400816836379,-27546076671110,33096958972132,,,,,,,,,,,,,,,,,,,
46,1114251967767,544621563317,266345827362,130324080898,63800107718,31248671772,15313215373,7509096471,3686487041,1814714622,899577438,453925397,238555805,135248911,84468126,54822273,28321525,-6245514,-55454496,-120636101,-195307870,-260634405,-277130967,-166151760,236432803,1295852171,3851928671,9825710281,23484636336,53937195244,119806878056,257582489405,535868839243,1078611131475,2101123552761,3962878103960,7239324777835,12809116314510,21938287200468,36310142566847,57881718174558,88312536937734,127449212973098,169850029809477,197396106480587,164299147508455,,,,,,,,,,,,,,,,,,
47,2180634225768,1066382258001,521760694684,255414867322,125090786424,61290678706,30042006934,14728791561,7219695090,3533208049,1718493427,818915989,364990592,126434787,-8814124,-93282250,-148104523,-176426048,-170180534,-114726038,5910063,201217933,461852338,738983305,905135065,668702262,-627149909,-4479078580,-14304788861,-37789425197,-91726620441,-211533498497,-469115987902,-1004984827145,-2083595958620,-4184719511381,-8147597615341,-15386922393176,-28196038707686,-50134325908154,-86444468475001,-144326186649559,-232638723587293,-360087936560391,-529937966369868,-727334072850455,-891633220358910,,,,,,,,,,,,,,,,,
48,4269555883753,2088921657985,1022539399984,500778705300,245363837978,120273051554,58982372848,28940365914,14211574353,6991879263,3458671214,1740177787,921261798,556271206,429836419,438650543,531932793,680037316,856463364,1026643898,1141369936,1135459873,934241940,472389602,-266593703,-1171728768,-1840431030,-1213281121,3265797459,17570586320,55360011517,147086631958,358620130455,827736118357,1832720945502,3916316904122,8101036415503,16248634030844,31635556424020,59831595131706,109965921039860,196410389514861,340736576164420,573375299751713,933463236312104,1463401202681972,2190735275532427,3082368495891337,,,,,,,,,,,,,,,,
49,8363243713308,4093687829555,2004766171570,982226771586,481448066286,236084228308,115811176754,56828803906,27888437992,13676863639,6684984376,3226313162,1486135375,564873577,8602371,-421234048,-859884591,-1391817384,-2071854700,-2928318064,-3954961962,-5096331898,-6231791771,-7166033711,-7638423313,-7371829610,-6200100842,-4359669812,-3146388691,-6412186150,-23982772470,-79342783987,-226429415945,-585049546400,-1412785664757,-3245506610259,-7161823514381,-15262859929884,-31511493960728,-63147050384748,-122978645516454,-232944566556314,-429354956071175,-770091532235595,-1343466831987308,-2276930068299412,-3740331270981384,-5931066546513811,-9013435042405148,,,,,,,,,,,,,,,
